wiggle_room,allocation,2019.01.01 - 2019.04.11,2019.02.19 - 2019.05.31,2019.04.11 - 2019.07.20,2019.05.31 - 2019.09.08,2019.07.20 - 2019.10.28,sum
0.0,0.85/0.15,83.78341414719482,-185.1941842902981,-280.40471790317224,260.0343658051156,242.80170000867233,121.02057776751244
0.01,0.85/0.15,83.78341414719482,-185.1941842902981,-280.40880320685136,257.94619097864074,243.4923368789551,119.6189545076412
0.02,0.85/0.15,73.13855339145196,-185.1941842902981,-280.40880320685136,257.94619097864074,243.4923368789551,108.97409375189835
0.03,0.85/0.15,73.13855339145196,-185.1941842902981,-278.1507091002933,257.94619097864074,243.4923368789551,111.23218785845643
0.04,0.85/0.15,71.36308587803188,-184.22205347286885,-278.1507091002933,257.94619097864074,242.98051558422645,109.91702986773697
0.05,0.85/0.15,71.36308587803188,-184.22205347286885,-278.1507091002933,257.94619097864074,243.0705086544089,110.00702293791943
0.06,0.85/0.15,71.36308587803188,-184.22205347286885,-278.6419804493775,260.21850685785813,243.0705086544089,111.78806746805253
0.07,0.85/0.15,82.46126699896169,-183.05987261367383,-278.6419804493775,241.52646825045503,243.0705086544089,105.35639084077428
0.08,0.85/0.15,76.11271673280058,-180.10659901693202,-250.10774124642776,256.46900506023866,243.0705086544089,145.43789018408836
0.09,0.85/0.15,82.80093189021187,-171.79890385069086,-250.11155707402634,260.0478027466139,243.0705086544089,164.0087823665175
0.1,0.85/0.15,82.80093189021187,-169.6512964501631,-250.11155707402634,268.09889150365683,263.3833192533392,194.52028912301847
0.11,0.85/0.15,45.413791041046004,-168.9198975652767,-250.11155707402634,230.70618520422764,262.76410435742287,119.85262596339348
0.12,0.85/0.15,54.72632482839855,-168.9198975652767,-244.60284758851736,230.70618520422764,270.5469995769558,142.45676445578792
0.13,0.85/0.15,54.72632482839855,-168.9198975652767,-249.7454318818819,230.70618520422764,270.5469995769558,137.3141801624234
0.14,0.85/0.15,54.72632482839855,-168.9198975652767,-249.7454318818819,230.70618520422764,270.5469995769558,137.3141801624234
0.15,0.85/0.15,54.72632482839855,-168.9198975652767,-249.7454318818819,230.70618520422764,270.5469995769558,137.3141801624234
0.0,0.8/0.2,76.55100469374679,-181.39552736966232,-285.4178506037262,249.31057653057073,247.2728894267875,106.32109267771648
0.01,0.8/0.2,76.55100469374679,-181.39552736966232,-285.421925127424,247.22992630520704,247.9642218776041,104.92770037947162
0.02,0.8/0.2,65.93834505390649,-181.39552736966232,-285.421925127424,247.22992630520704,247.9642218776041,94.31504073963134
0.03,0.8/0.2,65.93834505390649,-181.39552736966232,-283.4800549600923,247.22992630520704,247.5023369462532,95.7950259756121
0.04,0.8/0.2,64.48526607087658,-180.51952573537005,-283.4800549600923,247.22992630520704,247.57861700978054,95.29422869040187
0.05,0.8/0.2,64.48526607087658,-180.51952573537005,-283.99528808717207,249.27738601244403,247.57861700978054,96.82645527055905
0.06,0.8/0.2,74.13889165392516,-179.51724524037488,-283.99528808717207,245.43596179770154,247.57861700978054,103.64093713386026
0.07,0.8/0.2,73.75000149305176,-172.64252785584316,-258.3760647834759,245.43596179770154,247.57861700978054,135.7459876612148
0.08,0.8/0.2,74.18312240929512,-167.73741865101786,-258.3794435949253,248.61981231553503,264.11589404646696,160.80196652535395
0.09,0.8/0.2,74.18312240929512,-167.73741865101786,-258.3794435949253,222.9398277372903,263.1930358917586,134.19912379240085
0.1,0.8/0.2,49.31408884312881,-167.73741865101786,-266.85697388572447,222.9398277372903,270.1267688155201,107.78629285919689
0.11,0.8/0.2,49.31408884312881,-167.05705333080274,-252.5222392771614,222.9398277372903,270.1267688155201,122.80139278797512
0.12,0.8/0.2,49.31408884312881,-167.05705333080274,-252.5222392771614,222.9398277372903,270.1267688155201,122.80139278797512
0.13,0.8/0.2,49.31408884312881,-167.05705333080274,-257.3187062034719,222.9398277372903,270.1267688155201,118.00492586166459
0.14,0.8/0.2,49.31408884312881,-167.05705333080274,-257.3187062034719,222.9398277372903,270.1267688155201,118.00492586166459
0.15,0.8/0.2,43.462336042746784,-132.92411706924827,-205.55720249966907,234.85030601395727,270.1267688155201,209.9580913033068
0.0,0.75/0.25,69.32598155022546,-177.61038072793346,-290.43285119892016,238.5819743982472,251.69459733755798,91.55932135917703
0.01,0.75/0.25,69.32598155022546,-177.61038072793346,-290.4369149577217,236.50886196446967,252.38661194114277,90.17415977018277
0.02,0.75/0.25,58.745495660515374,-177.61038072793346,-288.8095660795728,236.50886196446967,252.38661194114277,81.22102275862159
0.03,0.75/0.25,57.6096643942524,-176.8313859234394,-288.8095660795728,236.50886196446967,251.9773063125523,80.45488066826218
0.04,0.75/0.25,57.6096643942524,-176.8313859234394,-288.217680011483,236.50886196446967,252.0396025054112,81.10906292921086
0.05,0.75/0.25,65.8258735915952,-176.8313859234394,-289.34442582927613,234.4281981096467,252.0396025054112,86.11786245393756
0.06,0.75/0.25,65.20330508493788,-169.97413946996716,-266.6562999969322,234.4281981096467,264.8301581052062,127.8312218328914
0.07,0.75/0.25,65.58438640642854,-165.84405004679755,-266.6592487390094,237.10457532860582,263.6074753081669,133.7931382573943
0.08,0.75/0.25,65.58438640642854,-165.84405004679755,-273.6459208883331,215.18306224067803,269.6883381053339,110.96581581730985
0.09,0.75/0.25,43.9095926942,-165.84405004679755,-273.6459208883331,215.18306224067803,269.6883381053339,89.29102210508134
0.1,0.75/0.25,43.9095926942,-165.21504301690376,-266.7146888987044,215.18306224067803,269.6883381053339,96.85126112460378
0.11,0.75/0.25,43.9095926942,-165.21504301690376,-260.47507918569465,215.18306224067803,269.6883381053339,103.0908708376135
0.12,0.75/0.25,39.11740204783102,-165.21504301690376,-267.6980146386616,215.18306224067803,269.6883381053339,91.07574473827756
0.13,0.75/0.25,39.11740204783102,-151.87569948312913,-301.3918945450752,176.54513067995487,269.6883381053339,32.08327680491544
0.14,0.75/0.25,15.14195294510233,-154.1361571294795,-301.3918945450752,176.54513067995487,267.7512775341286,3.910309484631057
0.15,0.75/0.25,15.14195294510233,-154.1361571294795,-301.3918945450752,179.4652458351765,267.7512775341286,6.830424639852708
0.0,0.7/0.3,62.108438565431705,-173.83885753823085,-295.449656891017,227.8488889460719,256.0665565100747,76.73536959233041
0.01,0.7/0.3,62.108438565431705,-173.83885753823085,-295.4537098999096,225.78332728790494,256.7592398278195,75.35843824301568
0.02,0.7/0.3,50.73639401464537,-173.83885753823085,-294.1391708702684,225.78332728790494,256.7592398278195,65.30093272187057
0.03,0.7/0.3,50.73639401464537,-173.15775124026186,-293.75736700782795,225.78332728790494,256.4531854758554,66.05778853031589
0.04,0.7/0.3,57.522401018016204,-173.5177422002662,-297.5286119964872,223.44581042863655,256.4531854758554,66.37504272575472
0.05,0.7/0.3,56.67540257811735,-172.83216885169853,-275.23853731693606,225.829457292847,265.5260674957429,99.96022119807265
0.06,0.7/0.3,57.00475737090373,-163.9712745136561,-277.9779704702253,225.829457292847,269.231676595534,110.11664627540335
0.07,0.7/0.3,57.00475737090373,-163.9712745136561,-280.46596968883824,207.43593915537681,269.231676595534,89.2351289193202
0.08,0.7/0.3,38.51285337057678,-163.9712745136561,-280.46596968883824,207.43593915537681,269.231676595534,70.74322491899326
0.09,0.7/0.3,38.51285337057678,-163.39395058264998,-274.1995191404612,207.43593915537681,269.231676595534,77.58699939837643
0.1,0.7/0.3,34.769451555197705,-141.12147964677865,-240.646596149986,215.37171287231334,269.231676595534,137.60476522628036
0.11,0.7/0.3,34.769451555197705,-153.13744119850293,-302.128033422472,176.1703717947009,268.64708844580497,24.32143717472863
0.12,0.7/0.3,15.14195294510233,-154.1361571294795,-302.128033422472,176.1703717947009,268.64708844580497,3.6952226336566696
0.13,0.7/0.3,15.14195294510233,-154.1361571294795,-302.128033422472,179.4652458351765,272.81935105998537,11.1623592883127
0.14,0.7/0.3,15.14195294510233,-154.1361571294795,-302.128033422472,179.4652458351765,271.8630744195197,10.20608264784704
0.15,0.7/0.3,15.14195294510233,-154.1361571294795,-302.128033422472,179.4652458351765,271.8630744195197,10.20608264784704
0.0,0.65/0.35,54.89846941003418,-170.08107088438177,-300.468204453156,217.1116497595874,260.38850141040876,61.849345242492575
0.01,0.65/0.35,54.489754149587576,-170.08107088438177,-300.47224672703067,215.0536516543571,261.0818399931153,60.07192818564755
0.02,0.65/0.35,43.86556812098371,-170.2506865108591,-300.63723060001655,217.58833603624635,260.8190876646496,51.385074711003995
0.03,0.65/0.35,40.80728347823946,-169.66244868211908,-301.36082417805306,212.5225406177388,266.203578211818,48.51012944762414
0.04,0.65/0.35,48.16632708123396,-169.13482915569185,-283.517013746563,212.71295932917724,273.1630275868864,81.39047109504276
0.05,0.65/0.35,48.44426866320757,-162.11917550795644,-285.0059051872151,214.39982516595822,273.1630275868864,88.88204072088067
0.06,0.65/0.35,48.44426866320757,-162.11917550795644,-285.0081676514365,199.6985086557721,268.7567532696225,69.7721874292092
0.07,0.65/0.35,30.41849911866823,-162.11917550795644,-283.2131836248056,199.6985086557721,268.7567532696225,53.54140191130077
0.08,0.65/0.35,30.41849911866823,-154.40585482849988,-302.86417229986813,175.78892254236672,268.7567532696225,17.69414780228942
0.09,0.65/0.35,15.14195294510233,-154.1361571294795,-302.86417229986813,175.78892254236672,269.5454485845676,3.475994642689045
0.1,0.65/0.35,15.14195294510233,-154.1361571294795,-302.86417229986813,179.4652458351765,272.6371873463883,10.244056697319536
0.11,0.65/0.35,15.14195294510233,-154.1361571294795,-302.86417229986813,179.4652458351765,271.8630744195197,9.469943770450925
0.12,0.65/0.35,15.14195294510233,-154.1361571294795,-302.86417229986813,179.4652458351765,271.8630744195197,9.469943770450925
0.13,0.65/0.35,15.14195294510233,-154.1361571294795,-302.86417229986813,179.4652458351765,271.8630744195197,9.469943770450925
0.14,0.65/0.35,15.14195294510233,-154.1361571294795,-306.8726691754782,179.4652458351765,271.8630744195197,5.461446894840776
0.15,0.65/0.35,15.14195294510233,-154.1361571294795,-306.8726691754782,179.4652458351765,271.8630744195197,5.461446894840776
